team,elo
Spain,2311.1
Argentina,2240.8
England,2176.1
France,2121.7
Colombia,2077.8
Brazil,2064.4
Portugal,2053.4
Netherlands,2034.0
Morocco,2011.4
Belgium,2008.2
Mexico,1996.8
Norway,1993.7
Switzerland,1989.4
Germany,1972.4
Japan,1955.1
Ecuador,1938.1
Italy,1933.2
Croatia,1931.4
Denmark,1919.7
Uruguay,1912.7
Turkey,1893.3
Australia,1883.2
Austria,1878.4
Nigeria,1872.9
Iran,1871.1
Paraguay,1867.5
Senegal,1865.1
Yugoslavia,1850.2
Egypt,1843.5
Algeria,1842.9
Ukraine,1833.1
Ivory Coast,1832.3
Canada,1828.3
Russia,1824.6
South Korea,1821.7
United States,1820.0
Venezuela,1817.5
Serbia,1807.6
Jersey,1805.5
Chile,1802.5
Greece,1802.4
Czechoslovakia,1796.8
Sweden,1796.4
Scotland,1794.0
DR Congo,1790.5
Basque Country,1787.5
Peru,1766.7
Panama,1760.5
Poland,1759.5
Hungary,1757.8
Northern Cyprus,1755.9
Czech Republic,1747.3
Guernsey,1746.2
Kosovo,1742.9
Republic of Ireland,1740.7
Slovenia,1737.6
Costa Rica,1737.0
German DR,1731.5
Wales,1730.4
Cameroon,1719.2
Uzbekistan,1714.4
Slovakia,1712.5
Georgia,1712.2
Isle of Man,1709.3
Jordan,1704.7
Honduras,1704.6
Romania,1702.2
Mali,1698.6
Cape Verde,1698.1
Israel,1697.7
Saudi Arabia,1693.8
South Africa,1690.3
Occitania,1684.2
Bolivia,1681.8
Ghana,1672.6
Bosnia and Herzegovina,1665.6
New Zealand,1660.7
Padania,1660.7
Isle of Wight,1660.3
Albania,1654.0
Tunisia,1652.7
Iraq,1651.7
Haiti,1651.1
Jamaica,1650.3
Catalonia,1649.3
United Arab Emirates,1648.3
Northern Ireland,1648.1
Iraqi Kurdistan,1644.2
Burkina Faso,1641.0
Ynys Môn,1640.3
Guatemala,1636.7
North Macedonia,1633.4
Abkhazia,1627.9
Iceland,1617.8
Kárpátalja,1607.6
New Caledonia,1602.6
Kernow,1592.9
Rhodes,1591.6
Angola,1591.5
County of Nice,1590.8
Andalusia,1589.6
Finland,1588.8
Syria,1587.6
Panjab,1585.3
Réunion,1585.2
Curaçao,1582.7
Tamil Eelam,1580.6
Belarus,1574.0
Vietnam,1573.6
Oman,1572.6
Suriname,1570.7
Ellan Vannin,1569.4
Palestine,1568.3
Kurdistan,1567.6
Menorca,1566.4
Guinea,1564.8
Artsakh,1556.1
Corsica,1553.5
Yorkshire,1553.2
Chameria,1551.9
Quebec,1546.4
Zambia,1546.3
Bahrain,1546.0
Arameans Suryoye,1545.5
Cascadia,1545.2
China,1544.0
Qatar,1535.2
Zanzibar,1532.3
Trinidad and Tobago,1531.8
Thailand,1529.7
Libya,1528.9
Maule Sur,1528.3
Benin,1528.0
Montenegro,1525.8
Galicia,1525.5
Gambia,1525.5
Asturias,1520.5
Tahiti,1519.7
Bulgaria,1519.6
Western Armenia,1518.3
Surrey,1516.2
Biafra,1514.8
Elba Island,1514.3
Parishes of Jersey,1513.9
Gabon,1512.3
Canary Islands,1512.1
Donetsk PR,1511.8
Mapuche,1508.5
Crimea,1507.6
Felvidék,1507.3
Guadeloupe,1506.9
Silesia,1506.5
Shetland,1503.3
Brittany,1502.9
Nicaragua,1501.9
United Koreans in Japan,1501.7
Délvidék,1500.2
Madagascar,1499.8
Uganda,1496.2
Central Spain,1495.3
Saugeais,1494.7
Greenland,1493.8
Togo,1493.1
North Korea,1491.2
Cilento,1490.5
Madrid,1489.4
Luhansk PR,1489.2
North Vietnam,1488.2
El Salvador,1487.9
Martinique,1487.8
Seborga,1486.4
Guyana,1485.9
Kazakhstan,1484.3
Sealand,1483.7
Székely Land,1483.6
Yoruba Nation,1483.5
Mozambique,1483.2
Matabeleland,1482.8
Sápmi,1481.2
Republic of St. Pauli,1481.1
Dominican Republic,1480.9
Comoros,1479.3
Franconia,1478.1
Zimbabwe,1477.1
Somaliland,1476.6
South Ossetia,1475.9
Ryūkyū,1474.4
Åland Islands,1474.4
West Papua,1474.3
Papua New Guinea,1474.2
Kenya,1471.3
South Yemen,1468.4
Kuwait,1468.1
Gozo,1467.8
Rouet-Provence,1465.4
Niger,1465.4
Romani people,1463.3
East Turkestan,1463.2
Aymara,1463.2
Sudan,1461.4
Hmong,1459.8
Provence,1459.4
Sierra Leone,1458.4
Mayotte,1457.7
Luxembourg,1456.8
Indonesia,1456.7
Kabylia,1455.8
Vanuatu,1455.6
Equatorial Guinea,1453.0
Chechnya,1451.3
Saarland,1448.2
Mauritania,1447.5
Monaco,1445.2
Gotland,1444.1
Rwanda,1441.9
Lebanon,1441.5
Estonia,1441.2
Malawi,1438.8
Western Isles,1436.2
Malaysia,1435.2
Fiji,1432.2
Namibia,1431.3
Kyrgyzstan,1431.3
Tajikistan,1431.1
Manchukuo,1430.4
Găgăuzia,1430.0
Faroe Islands,1427.3
Niue,1427.3
Liberia,1424.2
Palau,1421.9
Tanzania,1421.5
Canton Ticino,1421.0
Armenia,1418.9
Saint Barthélemy,1418.6
Marshall Islands,1417.6
Two Sicilies,1416.8
French Guiana,1415.9
Vatican City,1410.0
Lesotho,1405.8
Cuba,1405.0
Western Sahara,1400.0
Western Australia,1397.8
Orkney,1397.4
Burundi,1395.5
Solomon Islands,1395.1
Ethiopia,1394.5
Azerbaijan,1389.4
Ambazonia,1389.1
Botswana,1387.8
Turkmenistan,1387.4
Cyprus,1372.4
Saint Vincent and the Grenadines,1372.3
Central African Republic,1371.1
Raetia,1370.4
Vietnam Republic,1367.0
Guinea-Bissau,1363.6
Yemen DPR,1362.8
Chagos Islands,1359.3
Barawa,1358.8
Puerto Rico,1357.8
Saint Helena,1348.6
Bermuda,1347.2
Congo,1346.6
Malta,1346.6
Hitra,1343.5
Saare County,1341.0
Eswatini,1331.6
Lithuania,1330.0
Moldova,1329.7
Micronesia,1328.4
Singapore,1328.2
Sark,1328.0
Latvia,1326.5
Hong Kong,1325.2
Saint Martin,1324.2
Sint Maarten,1310.3
Yemen,1303.5
Belize,1298.4
Wallis Islands and Futuna,1297.3
Grenada,1295.8
Philippines,1291.6
Saint Pierre and Miquelon,1285.6
Saint Kitts and Nevis,1283.1
Darfur,1275.5
South Sudan,1274.0
Tibet,1267.7
Chad,1261.2
India,1258.8
Samoa,1256.5
Saint Lucia,1236.8
Kiribati,1234.4
Montserrat,1232.7
Tuvalu,1224.5
Mauritius,1222.4
Falkland Islands,1214.6
Eritrea,1209.4
Aruba,1208.9
São Tomé and Príncipe,1196.3
Frøya,1194.6
Afghanistan,1188.7
Myanmar,1188.1
Dominica,1186.7
Cook Islands,1177.3
Gibraltar,1154.9
Barbados,1153.6
Andorra,1147.6
Bonaire,1141.8
Bangladesh,1138.0
Pakistan,1136.6
Nepal,1128.8
Antigua and Barbuda,1127.3
Tonga,1102.3
Taiwan,1097.7
Cambodia,1086.9
Djibouti,1083.6
Alderney,1077.0
Cayman Islands,1067.1
Somalia,1059.3
British Virgin Islands,1037.2
Seychelles,1033.6
Maldives,1024.1
Mongolia,1018.8
Turks and Caicos Islands,1014.0
Sri Lanka,1011.1
Bahamas,1006.6
Guam,1002.2
Northern Mariana Islands,996.5
United States Virgin Islands,985.9
Liechtenstein,985.7
American Samoa,965.5
San Marino,937.1
Laos,930.1
Anguilla,924.9
Brunei,912.4
Timor-Leste,906.7
Macau,890.7
Bhutan,868.1
